group_no,matched_by,id,source_platform,title,cover_url,유지추천,추천근거,표지해상도(px),비고
36,title,35e5d037-2b21-4144-8b55-9f9888c4e88c,bloom,A5-Why Can't We Glow Like Fireflies?,https://s3.amazonaws.com/bloomharvest/educationforlife%40sil.org%2f79a4b0d1-2040-40c4-a955-980eaeb6e2cd%2fbloomdigital%2fslice8.jpg,,,349816,
36,title,9115e0ff-91fe-45ee-a00b-94c803a10715,gdl,Why Can't We Glow Like Fireflies?,https://content.digitallibrary.io/wp-content/uploads/2023/04/34744-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,Y,최대 해상도,441140,
37,title,6a054991-e52f-4255-b675-7be74dd77543,bloom,Aaloo-Maaloo-Kaaloo,https://s3.amazonaws.com/bloomharvest/lumimaftei%40gmail.com%2fa6372358-e984-4c17-8bdf-f1d7ff8db4a6%2fbloomdigital%2fSWPB_9_aaloo-maaloo-kaaloo_Page_02_Image_000111.png,,,205457,
37,title,79022238-2f97-47e3-9490-342166c1fcc2,gdl,Aaloo-Maaloo-Kaaloo,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015607-7c82e3c3967af7cd0fc0bc6c6c18d468-8c9f0371207329ffa6fb450270ac73ba.jpg,Y,최대 해상도,440181,
38,cover,35283d41-f3cb-45d2-a64d-53b76458b185,african_storybook,Abike's Day,https://africanstorybook.org/illustrations/covers/21453.png,,,38400,
38,cover,646a8062-91ab-41de-8321-c9fd90f3be9d,gdl,Akai's Special Mat,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201014457-7c82e3c3967af7cd0fc0bc6c6c18d468-548cd1f0e53925630cb6f9068c9d7155.jpg,Y,최대 해상도,345600,
39,both,50c2d7b6-c273-4fb6-b806-92d4de760aac,african_storybook,Advice from an old man,https://africanstorybook.org/illustrations/covers/36106.png,,팀장 판단(해상도 동률 2권),38400,
39,both,88829ea5-4595-405a-8c98-ee6d71e901aa,african_storybook,Advice from an old man,https://africanstorybook.org/illustrations/covers/22034.png,,팀장 판단(해상도 동률 2권),38400,
40,title,94a7fa50-46d4-4e55-8ee8-43d8782e848a,bloom,Amahle wants to help!,https://s3.amazonaws.com/bloomharvest/sAyekK3nIS%2f1745470056314%2fbloomdigital%2famahle-wants-to-help_page2%20%281280p%29.jpg,,,819200,
40,title,f3e5da2f-a04d-4b08-ac81-4dee971c15e8,book_dash,Amahle wants to help!,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/bookdash-amahle-wants-to-help.webp,Y,오디오 보유,360000,
41,cover,044a9459-d6bd-48c6-8ca5-4ec334bb6aa9,african_storybook,Anansi and Vulture,https://africanstorybook.org/illustrations/covers/996.png,,팀장 판단(해상도 동률 2권),38400,
41,cover,f4e5d015-05c3-4e8a-ad1c-8591a5795dc6,african_storybook,Jealous Anansi,https://africanstorybook.org/illustrations/covers/21247.png,,팀장 판단(해상도 동률 2권),38400,
42,title,c7a9c656-dc93-46a0-b16e-dfbef88e62b7,book_dash,And Also!,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/bookdash-and-also.webp,Y,book_dash,321489,
42,title,fed03c97-9d84-433b-9e29-f028de2be8f1,gdl,And Also!,https://content.digitallibrary.io/wp-content/uploads/2022/05/httpsdigitallibrary.iowp-contentuploads20220547225-2d53fe4545becd5d894854649e3e2f40-image_1.jpg,,,440181,
43,cover,11d1054f-265c-4868-8256-2a10fe5962dc,bloom,"Animals, Animals",https://s3.amazonaws.com/bloomharvest/glauredarwindy%40gmail.com%2f6aeee620-14f3-4d0b-9647-10e88b0a5c6b%2fbloomdigital%2fASP_134_animals_animals_1_Page_02_Image_0001.png,,팀장 판단(해상도 동률 2권),246000,
43,cover,1e7bf076-1de2-41e1-baca-1b0e88c69555,bloom,Tom Keeps Animals,https://s3.amazonaws.com/bloomharvest/bethann_carlson%40sil.org%2f057fb0e4-1ebf-421b-b6cc-cbf520c83501%2fbloomdigital%2fASP_170_Domestic_animals_Page_02_Image_0001.png,,팀장 판단(해상도 동률 2권),246000,
44,cover,2f24fffa-240c-4555-a73c-35d46c7fc299,african_storybook,Aniy'amanya the brave girl,https://africanstorybook.org/illustrations/covers/24300.png,,팀장 판단(해상도 동률 2권),38400,
44,cover,60f09a44-af0f-4c97-9763-b3b7f8a0cf45,african_storybook,Peddy the lazy girl,https://africanstorybook.org/illustrations/covers/24697.png,,팀장 판단(해상도 동률 2권),38400,
45,title,df646401-b12b-4984-bf0b-d8fac7f250d7,bloom,Annual Haircut Day,https://s3.amazonaws.com/bloomharvest/librarian%40bloomlibrary.org%2f7ccef56e-0191-4b4b-8fd8-08f4ae184bca%2fbloomdigital%2fSWPB_22-annual-haircut-day_Page_02_Image_0001.png,,,193200,
45,title,ecf93ed6-7846-4ff1-a19a-189554a49540,gdl,Annual Haircut Day,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015629-7c82e3c3967af7cd0fc0bc6c6c18d468-8701590b347c5a01ae5b7be80e4c872d.jpg,Y,최대 해상도,440181,
46,cover,96435276-a2f2-46da-b5ac-321692526299,african_storybook,Asa The Princess,https://africanstorybook.org/illustrations/covers/21965.png,,팀장 판단(해상도 동률 2권),38400,
46,cover,72422763-7947-4fbf-b709-c538b666c58b,african_storybook,Princess Asa,https://africanstorybook.org/illustrations/covers/33743.png,,팀장 판단(해상도 동률 2권),38400,
47,title,4bb8557d-0ad7-4a35-9aba-39f12dc986f1,bloom,Azizi the doll,https://s3.amazonaws.com/bloomharvest/hIW297bgYV%2f1739361169582%2fbloomdigital%2fASP_146_azizi_the_doll_1_Page_02_Image_0001.jpg,Y,최대 해상도,358801,
