book_id,platform,source_id,title,http_status,fetch_ok,n_text,n_image,axis_match,axis_diff,empty_pages,chars_raw,chars_billable,max_page_chars,p_numbers_contiguous,p_min,p_max,mojibake_suspect,error,flags,content_url
8e00c757-1fac-49bc-bbfa-2392556d7896,african_storybook,21744,Parna's Calf,200,True,12,13,False,-1,0,805,808,93,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21744.txt
db7258f3-c6f9-44c9-8ddf-176b1f9a1121,african_storybook,21778,The goat that ate the spinach,200,True,12,13,False,-1,0,802,803,98,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21778.txt
2d0a0b08-b138-4eaa-940a-60eeaaf9b153,african_storybook,21786,"My Friend, My Enemy",200,True,8,9,False,-1,0,1267,1267,267,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21786.txt
341702aa-f9e4-4b67-b859-051acdad534f,african_storybook,21789,Girl who did not listen,200,True,12,13,False,-1,0,628,633,73,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21789.txt
70611eab-f597-4c46-8c0a-13ef74dae1d2,african_storybook,21791,The Witch Who Becomes  A Queen,200,True,8,9,False,-1,0,1076,1075,215,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21791.txt
4ff62b6b-0b5d-40da-938b-92ae546ff3c2,african_storybook,21795,Wrong Advice,200,True,20,21,False,-1,0,894,903,62,True,1,20,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21795.txt
e03faedb-7125-451d-9e86-9502bead0ba2,african_storybook,21797,Who Is The Next Ruler?,200,True,16,17,False,-1,0,760,768,69,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21797.txt
fdb719ae-6536-4922-9d73-81571860e647,african_storybook,21896,Our Animals,200,True,12,13,False,-1,0,391,391,61,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21896.txt
76603bf8-1dab-4a4c-8790-8a20702350ae,african_storybook,21967,i plan to be a king,200,True,7,8,False,-1,0,201,201,46,True,1,7,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21967.txt
14c335a9-b565-41e5-ac12-dbf7575d77d5,african_storybook,21968,Support,200,True,4,5,False,-1,0,79,79,23,True,1,4,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21968.txt
aa5c6363-c23a-410e-9d7b-95d26df5733c,african_storybook,21974,"Sun, Moon, and Water",200,True,12,13,False,-1,0,980,983,138,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21974.txt
5745da9e-baf0-4858-b336-2904b2621ae3,african_storybook,21980,Cat and Dog and the butterfly,200,True,13,15,False,-2,0,631,631,73,True,1,13,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21980.txt
adf937d3-8d05-4aab-8cfd-466a2e0f7034,african_storybook,21990,Cat and Dog: Dog is cold,200,True,17,19,False,-2,0,602,602,63,True,1,17,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21990.txt
28a25025-8d52-4bc1-8b0e-18c479162045,african_storybook,21992,Cat and Dog: Cat is yellow,200,True,23,25,False,-2,0,855,867,68,True,1,23,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21992.txt
1b5fc115-b8c5-48b5-b84e-4607f6f384f4,african_storybook,21993,Cat and Dog and the worms,200,True,21,23,False,-2,0,641,645,85,True,1,21,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21993.txt
6d92bf3a-b779-413e-9d67-3f2f7feda0fd,african_storybook,22032,Berhe and the snake,200,True,12,13,False,-1,0,1004,1012,144,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22032.txt
76b4eb5c-bdde-4e88-b653-0ae0b734061b,african_storybook,22035,Clever woman,200,True,12,13,False,-1,0,1491,1501,218,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22035.txt
5f59b938-66ed-484b-9de0-068a7c07d3d7,african_storybook,22037,Four lambs and a fox,200,True,12,13,False,-1,0,969,973,146,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22037.txt
0ac649ce-e5a5-46a0-9205-5f14dfa956e3,african_storybook,22046,Monkey and the shoes,200,True,12,13,False,-1,0,917,919,108,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22046.txt
82b21b19-bdec-458a-bb44-c9fc5822f05a,african_storybook,22047,Result of disobedience,200,True,8,9,False,-1,0,1054,1055,194,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22047.txt
55a64d82-c279-4e4a-ab55-93eba38b48c6,african_storybook,2205,Clever Jackal and Foolish Crow,200,True,8,9,False,-1,0,1257,1257,207,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/2205.txt
acb64eb3-4ef8-48f8-beb3-ff3507c2c987,african_storybook,22050,Ten lost boys,200,True,12,13,False,-1,0,1059,1061,126,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22050.txt
af962a91-1726-4ad8-afac-b3d1d7b3e07b,african_storybook,22114,Father's advice,200,True,8,9,False,-1,0,286,286,52,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22114.txt
b3cdf8fd-1d86-4981-80f2-d6dbc9419768,african_storybook,22127,Is Dedo really mad?,200,True,12,13,False,-1,0,997,999,131,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22127.txt
1db8cd76-b8f8-446f-b0fd-1d0abc11e582,african_storybook,22166,Cassava and Palm,200,True,16,17,False,-1,0,1799,1810,185,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22166.txt
a1ecca3c-36fc-4f45-bc15-43c380552834,african_storybook,22168,Why  Donkey cries louder than Horse,200,True,12,13,False,-1,0,874,878,144,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22168.txt
3927c2fc-68a7-492a-9ae4-0e7c5aa16a10,african_storybook,22181,Friendship between a donkey and a hyena,200,True,12,13,False,-1,0,678,681,102,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22181.txt
187f2166-1a62-4dc9-a89a-d14e2f388116,african_storybook,22183,Lion's shoes,200,True,12,13,False,-1,0,737,740,93,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22183.txt
a57c5cc3-b122-491c-943f-8711a9369cda,african_storybook,22184,Raven and Fox,200,True,12,13,False,-1,0,570,571,81,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22184.txt
27aadfed-196b-4e9e-8a17-3ea51fed4462,african_storybook,22185,The coneys and the genet,200,True,12,13,False,-1,0,792,795,110,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22185.txt
6dc1afff-043c-4cb9-a5c7-bbbb8bfe2bcb,african_storybook,22191,Drum,200,True,8,9,False,-1,0,614,615,100,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22191.txt
89848f90-8eba-4099-bf29-442c40e4a227,african_storybook,22194,Skillful musicians,200,True,8,9,False,-1,0,1503,1511,263,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22194.txt
f96d7c5a-3936-49a9-ac2a-8910a854abc1,african_storybook,22261,Three boxes of wealth,200,True,12,13,False,-1,0,1178,1181,153,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22261.txt
d3b53a69-743b-4a31-9458-488eaaafe167,african_storybook,22315,The coffee legend,200,True,21,22,False,-1,0,1515,1515,119,True,1,21,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22315.txt
670f5ad5-3684-47c9-a291-b9dba675c319,african_storybook,22325,Musa and the cat,200,True,8,9,False,-1,0,507,508,100,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22325.txt
65a8b0a0-e572-4e28-8555-16603dffaf30,african_storybook,22357,The boy who ran away,200,True,12,13,False,-1,0,493,494,64,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22357.txt
4591b1b7-b03e-4116-ae96-a143fdea0eb1,african_storybook,22410,Kaldi and the coffee fruit,200,True,12,13,False,-1,0,999,999,123,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22410.txt
ae2ec26f-70de-46a2-8f8f-715c8e21a5a4,african_storybook,22481,Thembi and the Singing,200,True,27,28,False,-1,0,2436,2449,239,True,1,27,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22481.txt
df98b6ed-8083-4268-95e5-d175c948c8a8,african_storybook,22510,Pa Nase the spider and the village women,200,True,12,13,False,-1,0,1134,1136,150,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22510.txt
8f13d7a5-6938-4744-bb5b-a45527f804f2,african_storybook,22542,Magical rainbow river,200,True,12,13,False,-1,0,1884,1887,244,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22542.txt
cfffd0bc-bd99-48ca-b183-4005fc87f78c,african_storybook,22550,How colours came together in the sky,200,True,12,13,False,-1,0,1446,1456,144,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22550.txt
0154908d-1c73-4178-9ae1-dba92d5ccbd5,african_storybook,22565,Drought and the River of Blessings,200,True,12,13,False,-1,0,1057,1061,170,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22565.txt
abfaee65-bd7e-4998-bd84-abf5ca2f31d2,african_storybook,22599,The prince who had no name,200,True,12,13,False,-1,0,1488,1494,189,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22599.txt
5172e482-3005-443f-8d19-7ed81d4f7bd6,african_storybook,22602,Persistent man,200,True,5,6,False,-1,0,295,296,113,True,1,5,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/22602.txt
