platform,source_id,title,fetch_ok,http_status,n_text,n_image,emitted,missing,extra,bad_scheme,error
african_storybook,34656,Amara and the magic tree,True,200,8,9,8,0,1,0,
african_storybook,34668,Where is Nina ?,True,200,16,16,16,0,0,0,
african_storybook,35033,Is there someone like me?,True,200,14,15,14,0,1,0,
african_storybook,35250,Sara's Canoe,True,200,13,14,13,0,1,0,
african_storybook,35252,I feel worried,True,200,8,9,8,0,1,0,
african_storybook,35302,Rats in the Barn,True,200,12,13,12,0,1,0,
african_storybook,35347,Greedy Mr G,True,200,14,14,14,0,0,0,
african_storybook,35350,The Animals,True,200,9,10,9,0,1,0,
african_storybook,35356,Where does our meat come from?,True,200,6,7,6,0,1,0,
african_storybook,35392,If I could visit a storybook,True,200,12,13,12,0,1,0,
african_storybook,35415,Emotions Come and Go,True,200,16,17,16,0,1,0,
african_storybook,35417,Decision,True,200,16,17,16,0,1,0,
african_storybook,35419,Salamatu spends her day with wind,True,200,12,13,12,0,1,0,
african_storybook,35421,Crazy Animals,True,200,11,12,11,0,1,0,
african_storybook,35428,Farm animals,True,200,4,5,4,0,1,0,
african_storybook,35430,Big foot,True,200,4,5,4,0,1,0,
african_storybook,35433,"I Dabble, waddle, wiggle, quack",True,200,8,9,8,0,1,0,
african_storybook,35467,MEERA'S BIRTHDAY party!!,True,200,13,13,13,0,0,0,
african_storybook,35476,The blacksmith's dilemma,True,200,15,16,15,0,1,0,
african_storybook,35491,The Town's People Learned A Le,True,200,12,12,12,0,0,0,
african_storybook,35553,Grannies Visit,True,200,10,11,10,0,1,0,
african_storybook,35554,The Story of SimNom,True,200,5,6,5,0,1,0,
african_storybook,35574,Wicked Friends.,True,200,8,9,8,0,1,0,
african_storybook,35582,"Tanko,The Farmer",True,200,8,9,8,0,1,0,
african_storybook,35588,The Story Fatima,True,200,5,6,5,0,1,0,
african_storybook,35593,Amina and the Principal,True,200,8,9,8,0,1,0,
african_storybook,35594,The beautiful flower,True,200,5,6,5,0,1,0,
african_storybook,35613,Story of malama Asabe,True,200,3,4,3,0,1,0,
african_storybook,35623,The Right Decision,True,200,5,6,5,0,1,0,
african_storybook,35626,Amina The Super Girl,True,200,9,10,9,0,1,0,
african_storybook,35631,"Titi and Donkey, the trickster",True,200,8,9,8,0,1,0,
african_storybook,35643,THE SOUL OF LOVE,True,200,10,11,10,0,1,0,
african_storybook,35645,Letter 'S' makes more,True,200,8,9,8,0,1,0,
african_storybook,35646,My House,True,200,8,9,8,0,1,0,
african_storybook,35647,Mlp the movie,True,200,7,5,5,2,0,0,
african_storybook,35666,A Young Dressmaker,True,200,5,6,5,0,1,0,
african_storybook,35669,Banana and Toffee: The Big Race,True,200,13,20,13,0,7,0,
african_storybook,35732,The Tree that Couldn't See,True,200,6,7,6,0,1,0,
african_storybook,35744,Only if this chair could speak,True,200,8,9,8,0,1,0,
african_storybook,35866,Hear me,True,200,14,15,14,0,1,0,
african_storybook,35934,Five Chicks and a Mango,True,200,16,16,16,0,0,0,
african_storybook,36026,Little mouse with fur,True,200,12,13,12,0,1,0,
african_storybook,36028,Let's dive!,True,200,11,13,11,0,2,0,
african_storybook,36030,Let's go to the park,True,200,8,9,8,0,1,0,
african_storybook,36034,Let's ride on raindrops,True,200,12,12,12,0,0,0,
african_storybook,36036,Why are flamingos pink?,True,200,8,9,8,0,1,0,
african_storybook,36038,Why do we need bees?,True,200,8,9,8,0,1,0,
african_storybook,36089,Elk Vs Wolf,True,200,8,9,8,0,1,0,
african_storybook,36106,Advice from an old man,True,200,12,13,12,0,1,0,
african_storybook,36128,Why Fly pesters Cow,True,200,10,11,10,0,1,0,
african_storybook,36221,Skeleton bones,True,200,12,13,12,0,1,0,
african_storybook,36489,Little calf and Alex,True,200,5,6,5,0,1,0,
african_storybook,36503,The Poor Farmer and the Egg,True,200,20,22,20,0,2,0,
african_storybook,36558,Hard work pays,True,200,7,8,7,0,1,0,
african_storybook,36586,Hyena and Raven,True,200,10,11,10,0,1,0,
african_storybook,36647,I love my sister,True,200,4,5,4,0,1,0,
african_storybook,36705,Wonky donkeys mom,True,200,12,11,11,1,0,0,
african_storybook,36714,The wrong cereal.,True,200,7,8,7,0,1,0,
african_storybook,36739,Chaos in the Classroom,True,200,15,16,15,0,1,0,
african_storybook,36774,Beth and her Dancing Shoes,True,200,12,13,12,0,1,0,
african_storybook,36775,Mouse in cat school,True,200,8,9,8,0,1,0,
african_storybook,36825,The Di Bird,True,200,18,5,5,13,0,0,
african_storybook,36832,Tomorrow is Gogo's birthday,True,200,14,15,14,0,1,0,
